"metric","model","group","size","skewness"
"mean_perp","qwen3","control","10",1.00938656393887
"mean_perp","qwen3","psychosis","10",1.31179287307007
"mean_perp","geitje","control","10",1.09934970175767
"mean_perp","geitje","psychosis","10",1.42552074467246
"mean_perp","geitje","psychosis","20",1.21866088707183
"mean_perp","geitje","psychosis","30",1.02707947898594
"sd_perp","gpt2","control","10",1.20845769452036
"sd_perp","gpt2","psychosis","10",2.29818248636212
"sd_perp","gpt2","psychosis","20",1.56509424891015
"sd_perp","gpt2","psychosis","30",1.26605006978745
"sd_perp","gpt2","psychosis","40",1.03396789400606
"sd_perp","qwen3","control","10",2.46731017648541
"sd_perp","qwen3","control","20",2.20212058610633
"sd_perp","qwen3","control","30",1.1061809367494
"sd_perp","qwen3","control","40",1.04215573413297
"sd_perp","qwen3","control","50",1.23399226716061
"sd_perp","qwen3","psychosis","10",3.3306712435163
"sd_perp","qwen3","psychosis","20",1.65614381263488
"sd_perp","qwen3","psychosis","30",2.08891813603391
"sd_perp","qwen3","psychosis","40",1.70350535165675
"sd_perp","qwen3","psychosis","50",1.74000193799866
"sd_perp","falcon","control","10",1.45962170810026
"sd_perp","falcon","control","20",1.23124615692785
"sd_perp","falcon","control","30",1.37068532816883
"sd_perp","falcon","control","40",1.35632217134149
"sd_perp","falcon","control","50",1.37586904763011
"sd_perp","falcon","psychosis","10",2.72852684571107
"sd_perp","falcon","psychosis","20",1.48555266802559
"sd_perp","falcon","psychosis","30",1.5035035504788
"sd_perp","falcon","psychosis","40",1.5573482145299
"sd_perp","falcon","psychosis","50",1.42383206747795
"sd_perp","geitje","control","10",2.44734220935554
"sd_perp","geitje","control","20",1.99910806451017
"sd_perp","geitje","control","30",1.73506176803653
"sd_perp","geitje","control","40",1.60239484378119
"sd_perp","geitje","control","50",1.44121320951271
"sd_perp","geitje","psychosis","10",2.63012809163045
"sd_perp","geitje","psychosis","20",3.53805447227044
"sd_perp","geitje","psychosis","30",4.12285913278581
"sd_perp","geitje","psychosis","40",3.88762713469383
"sd_perp","geitje","psychosis","50",2.86937641140245
"min_perp","geitje","psychosis","20",1.00332119562344
"min_perp","geitje","psychosis","30",1.35484072087159
"min_perp","geitje","psychosis","40",1.17808999300416
"min_perp","geitje","psychosis","50",1.16577041172276
"max_perp","gpt2","control","10",2.00175505354148
"max_perp","gpt2","control","20",1.3079109462568
"max_perp","gpt2","control","30",1.26442154415809
"max_perp","gpt2","control","40",1.41153154137509
"max_perp","gpt2","control","50",1.28128699244541
"max_perp","gpt2","psychosis","10",2.9082256696819
"max_perp","gpt2","psychosis","20",2.32765891442535
"max_perp","gpt2","psychosis","30",1.57979791966839
"max_perp","gpt2","psychosis","40",1.21238863355373
"max_perp","qwen3","control","10",2.66992351738995
"max_perp","qwen3","control","20",2.30243283325299
"max_perp","qwen3","control","30",1.49620549705531
"max_perp","qwen3","control","40",1.23451321111411
"max_perp","qwen3","control","50",1.53076075331333
"max_perp","qwen3","psychosis","10",3.98773674730426
"max_perp","qwen3","psychosis","20",1.90307750110525
"max_perp","qwen3","psychosis","30",3.13535938723667
"max_perp","qwen3","psychosis","40",1.8653267182149
"max_perp","qwen3","psychosis","50",2.00333473629915
"max_perp","falcon","control","10",2.37046518490765
"max_perp","falcon","control","20",1.23582861710175
"max_perp","falcon","control","30",1.68670374291166
"max_perp","falcon","control","40",1.66632455983022
"max_perp","falcon","control","50",1.7083416268078
"max_perp","falcon","psychosis","10",3.69073279676288
"max_perp","falcon","psychosis","20",1.95248600968814
"max_perp","falcon","psychosis","30",2.00791757689021
"max_perp","falcon","psychosis","40",1.97478943307272
"max_perp","falcon","psychosis","50",1.86284280455621
"max_perp","geitje","control","10",2.84699697747684
"max_perp","geitje","control","20",3.0561630602978
"max_perp","geitje","control","30",2.27485844959854
"max_perp","geitje","control","40",2.18435096019427
"max_perp","geitje","control","50",1.83649879679896
"max_perp","geitje","psychosis","10",2.39818884003687
"max_perp","geitje","psychosis","20",2.76746157042999
"max_perp","geitje","psychosis","30",3.03694767803561
"max_perp","geitje","psychosis","40",4.06137419603053
"max_perp","geitje","psychosis","50",2.45686987385805
