"metric","model","group","size","skewness"
"sd_perp","gpt2","psychosis","10",1.17992921842525
"sd_perp","qwen3","control","10",1.29485419823831
"sd_perp","qwen3","psychosis","10",1.57150433785601
"sd_perp","qwen3","psychosis","20",1.03272808500491
"sd_perp","qwen3","psychosis","30",1.00116503080935
"sd_perp","falcon","psychosis","10",1.06959386374197
"sd_perp","geitje","control","10",1.60905147979081
"sd_perp","geitje","control","20",1.02520233666655
"sd_perp","geitje","psychosis","10",1.28169899822115
"sd_perp","geitje","psychosis","20",1.14617403831751
"sd_perp","geitje","psychosis","30",1.02585487035908
"max_perp","gpt2","control","10",1.11068407195768
"max_perp","gpt2","psychosis","10",1.7257716158804
"max_perp","gpt2","psychosis","20",1.37809632458314
"max_perp","qwen3","control","10",1.60481282292161
"max_perp","qwen3","control","20",1.3129977825386
"max_perp","qwen3","psychosis","10",1.87862509752147
"max_perp","qwen3","psychosis","30",1.11195076260737
"max_perp","falcon","control","10",1.04762213761941
"max_perp","falcon","control","30",1.06965757422887
"max_perp","falcon","control","40",1.0424117028818
"max_perp","falcon","psychosis","10",1.29154535403525
"max_perp","falcon","psychosis","20",1.44277324722329
"max_perp","falcon","psychosis","30",1.05429710269407
"max_perp","geitje","control","10",1.97453415347248
"max_perp","geitje","control","20",1.38436242648651
"max_perp","geitje","control","30",1.05139166649526
"max_perp","geitje","control","40",1.35074672384309
"max_perp","geitje","control","50",1.11907009652783
"max_perp","geitje","psychosis","10",1.37660781952839
"max_perp","geitje","psychosis","20",1.21097378777202
