"model","group","size","skewness"
"gpt2","control","10",2.00175505354148
"gpt2","control","20",1.3079109462568
"gpt2","control","30",1.26442154415809
"gpt2","control","40",1.41153154137509
"gpt2","control","50",1.28128699244541
"gpt2","psychosis","10",2.9082256696819
"gpt2","psychosis","20",2.32765891442535
"gpt2","psychosis","30",1.57979791966839
"gpt2","psychosis","40",1.21238863355373
"qwen3","control","10",2.66992351738995
"qwen3","control","20",2.30243283325299
"qwen3","control","30",1.49620549705531
"qwen3","control","40",1.23451321111411
"qwen3","control","50",1.53076075331333
"qwen3","psychosis","10",3.98773674730426
"qwen3","psychosis","20",1.90307750110525
"qwen3","psychosis","30",3.13535938723667
"qwen3","psychosis","40",1.8653267182149
"qwen3","psychosis","50",2.00333473629915
"falcon","control","10",2.37046518490765
"falcon","control","20",1.23582861710175
"falcon","control","30",1.68670374291166
"falcon","control","40",1.66632455983022
"falcon","control","50",1.7083416268078
"falcon","psychosis","10",3.69073279676288
"falcon","psychosis","20",1.95248600968814
"falcon","psychosis","30",2.00791757689021
"falcon","psychosis","40",1.97478943307272
"falcon","psychosis","50",1.86284280455621
"geitje","control","10",2.84699697747684
"geitje","control","20",3.0561630602978
"geitje","control","30",2.27485844959854
"geitje","control","40",2.18435096019427
"geitje","control","50",1.83649879679896
"geitje","psychosis","10",2.39818884003687
"geitje","psychosis","20",2.76746157042999
"geitje","psychosis","30",3.03694767803561
"geitje","psychosis","40",4.06137419603053
"geitje","psychosis","50",2.45686987385805
