"model","group","size","skewness"
"gpt2","control","10",1.11068407195768
"gpt2","psychosis","10",1.7257716158804
"gpt2","psychosis","20",1.37809632458314
"qwen3","control","10",1.60481282292161
"qwen3","control","20",1.3129977825386
"qwen3","psychosis","10",1.87862509752147
"qwen3","psychosis","30",1.11195076260737
"falcon","control","10",1.04762213761941
"falcon","control","30",1.06965757422887
"falcon","control","40",1.0424117028818
"falcon","psychosis","10",1.29154535403525
"falcon","psychosis","20",1.44277324722329
"falcon","psychosis","30",1.05429710269407
"geitje","control","10",1.97453415347248
"geitje","control","20",1.38436242648651
"geitje","control","30",1.05139166649526
"geitje","control","40",1.35074672384309
"geitje","control","50",1.11907009652783
"geitje","psychosis","10",1.37660781952839
"geitje","psychosis","20",1.21097378777202
