"model","group","size","skewness"
"gpt2","control","10",1.20845769452036
"gpt2","psychosis","10",2.29818248636212
"gpt2","psychosis","20",1.56509424891015
"gpt2","psychosis","30",1.26605006978745
"gpt2","psychosis","40",1.03396789400606
"qwen3","control","10",2.46731017648541
"qwen3","control","20",2.20212058610633
"qwen3","control","30",1.1061809367494
"qwen3","control","40",1.04215573413297
"qwen3","control","50",1.23399226716061
"qwen3","psychosis","10",3.3306712435163
"qwen3","psychosis","20",1.65614381263488
"qwen3","psychosis","30",2.08891813603391
"qwen3","psychosis","40",1.70350535165675
"qwen3","psychosis","50",1.74000193799866
"falcon","control","10",1.45962170810026
"falcon","control","20",1.23124615692785
"falcon","control","30",1.37068532816883
"falcon","control","40",1.35632217134149
"falcon","control","50",1.37586904763011
"falcon","psychosis","10",2.72852684571107
"falcon","psychosis","20",1.48555266802559
"falcon","psychosis","30",1.5035035504788
"falcon","psychosis","40",1.5573482145299
"falcon","psychosis","50",1.42383206747795
"geitje","control","10",2.44734220935554
"geitje","control","20",1.99910806451017
"geitje","control","30",1.73506176803653
"geitje","control","40",1.60239484378119
"geitje","control","50",1.44121320951271
"geitje","psychosis","10",2.63012809163045
"geitje","psychosis","20",3.53805447227044
"geitje","psychosis","30",4.12285913278581
"geitje","psychosis","40",3.88762713469383
"geitje","psychosis","50",2.86937641140245
