Metric: mean_perp  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.226 
Metric: sd_perp  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 201 Skewness: 0.865 
Metric: min_perp  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.192 
Metric: max_perp  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 200 Skewness: 1.111 
Metric: mean_perp  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: 0.059 
Metric: sd_perp  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: 0.455 
Metric: min_perp  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: -0.156 
Metric: max_perp  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: 0.814 
Metric: mean_perp  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.114 
Metric: sd_perp  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 203 Skewness: 0.436 
Metric: min_perp  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: -0.208 
Metric: max_perp  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 202 Skewness: 0.533 
Metric: mean_perp  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.108 
Metric: sd_perp  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.511 
Metric: min_perp  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: -0.177 
Metric: max_perp  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.756 
Metric: mean_perp  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: 0.094 
Metric: sd_perp  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 203 Skewness: 0.355 
Metric: min_perp  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: -0.205 
Metric: max_perp  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 202 Skewness: 0.372 
Metric: mean_perp  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 408 Skewness: 0.281 
Metric: sd_perp  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.18 
Metric: min_perp  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: 0.216 
Metric: max_perp  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.726 
Metric: mean_perp  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 409 Skewness: 0.022 
Metric: sd_perp  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 404 Skewness: 0.945 
Metric: min_perp  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 410 Skewness: 0.047 
Metric: max_perp  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 402 Skewness: 1.378 
