Metric: word_max  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 200 Skewness: 1.111 
Metric: word_max  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: 0.814 
Metric: word_max  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 202 Skewness: 0.533 
Metric: word_max  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.756 
Metric: word_max  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 202 Skewness: 0.372 
Metric: word_max  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.726 
Metric: word_max  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 402 Skewness: 1.378 
Metric: word_max  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 404 Skewness: 0.883 
Metric: word_max  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 405 Skewness: 0.649 
Metric: word_max  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 407 Skewness: 0.495 
Metric: word_max  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 197 Skewness: 1.605 
Metric: word_max  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 200 Skewness: 1.313 
Metric: word_max  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 200 Skewness: 0.991 
Metric: word_max  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.81 
Metric: word_max  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 202 Skewness: 0.778 
Metric: word_max  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.879 
Metric: word_max  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 400 Skewness: 0.995 
Metric: word_max  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 1.112 
Metric: word_max  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 406 Skewness: 0.872 
Metric: word_max  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 404 Skewness: 0.962 
Metric: word_max  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 202 Skewness: 1.048 
Metric: word_max  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 202 Skewness: 0.918 
Metric: word_max  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 202 Skewness: 1.07 
Metric: word_max  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 200 Skewness: 1.042 
Metric: word_max  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 199 Skewness: 0.862 
Metric: word_max  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 403 Skewness: 1.292 
Metric: word_max  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 402 Skewness: 1.443 
Metric: word_max  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 1.054 
Metric: word_max  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 405 Skewness: 0.822 
Metric: word_max  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 409 Skewness: 0.859 
Metric: word_max  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 199 Skewness: 1.975 
Metric: word_max  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 200 Skewness: 1.384 
Metric: word_max  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 199 Skewness: 1.051 
Metric: word_max  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 202 Skewness: 1.351 
Metric: word_max  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 201 Skewness: 1.119 
Metric: word_max  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.377 
Metric: word_max  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 403 Skewness: 1.211 
Metric: word_max  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 406 Skewness: 0.968 
Metric: word_max  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 406 Skewness: 0.968 
Metric: word_max  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 406 Skewness: 0.936 
