Metric: word_mean  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.226 
Metric: word_mean  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: 0.059 
Metric: word_mean  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.114 
Metric: word_mean  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.108 
Metric: word_mean  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: 0.094 
Metric: word_mean  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 408 Skewness: 0.281 
Metric: word_mean  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 409 Skewness: 0.022 
Metric: word_mean  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 409 Skewness: -0.076 
Metric: word_mean  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 410 Skewness: -0.071 
Metric: word_mean  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 410 Skewness: -0.072 
Metric: word_mean  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 202 Skewness: 0.546 
Metric: word_mean  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: 0.384 
Metric: word_mean  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.362 
Metric: word_mean  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 205 Skewness: 0.442 
Metric: word_mean  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 205 Skewness: 0.468 
Metric: word_mean  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 406 Skewness: 0.508 
Metric: word_mean  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 0.397 
Metric: word_mean  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 0.34 
Metric: word_mean  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 408 Skewness: 0.353 
Metric: word_mean  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.345 
Metric: word_mean  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.611 
Metric: word_mean  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 205 Skewness: 0.764 
Metric: word_mean  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 205 Skewness: 0.737 
Metric: word_mean  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.643 
Metric: word_mean  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: 0.622 
Metric: word_mean  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 408 Skewness: 0.552 
Metric: word_mean  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 408 Skewness: 0.351 
Metric: word_mean  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 0.302 
Metric: word_mean  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 408 Skewness: 0.283 
Metric: word_mean  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.281 
Metric: word_mean  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.766 
Metric: word_mean  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: 0.653 
Metric: word_mean  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 203 Skewness: 0.634 
Metric: word_mean  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.64 
Metric: word_mean  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 203 Skewness: 0.66 
Metric: word_mean  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 406 Skewness: 0.622 
Metric: word_mean  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 0.627 
Metric: word_mean  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 406 Skewness: 0.583 
Metric: word_mean  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 406 Skewness: 0.589 
Metric: word_mean  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 407 Skewness: 0.637 
