Metric: word_min  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.192 
Metric: word_min  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: -0.156 
Metric: word_min  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: -0.208 
Metric: word_min  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: -0.177 
Metric: word_min  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: -0.205 
Metric: word_min  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: 0.216 
Metric: word_min  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 410 Skewness: 0.047 
Metric: word_min  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 410 Skewness: -0.031 
Metric: word_min  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 410 Skewness: 0.093 
Metric: word_min  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 410 Skewness: 0.077 
Metric: word_min  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.103 
Metric: word_min  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 204 Skewness: 0.106 
Metric: word_min  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.088 
Metric: word_min  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.259 
Metric: word_min  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 203 Skewness: 0.172 
Metric: word_min  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: 0.209 
Metric: word_min  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 408 Skewness: 0.158 
Metric: word_min  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 0.325 
Metric: word_min  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 407 Skewness: 0.345 
Metric: word_min  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.435 
Metric: word_min  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 205 Skewness: 0.165 
Metric: word_min  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 205 Skewness: -0.298 
Metric: word_min  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 205 Skewness: 0.03 
Metric: word_min  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 205 Skewness: 0.093 
Metric: word_min  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: -0.063 
Metric: word_min  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: -0.066 
Metric: word_min  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 408 Skewness: -0.016 
Metric: word_min  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 408 Skewness: 0.2 
Metric: word_min  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 407 Skewness: 0.426 
Metric: word_min  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 409 Skewness: 0.413 
Metric: word_min  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 204 Skewness: 0.315 
Metric: word_min  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: -0.154 
Metric: word_min  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 204 Skewness: 0.453 
Metric: word_min  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 203 Skewness: 0.354 
Metric: word_min  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 204 Skewness: 0.192 
Metric: word_min  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 409 Skewness: 0.115 
Metric: word_min  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 0.241 
Metric: word_min  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 409 Skewness: 0.568 
Metric: word_min  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 408 Skewness: 0.52 
Metric: word_min  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 407 Skewness: 0.565 
