Metric: word_std  | Model: gpt2  | Group: control  | Size: 10 - Original N: 205 Clean N: 201 Skewness: 0.865 
Metric: word_std  | Model: gpt2  | Group: control  | Size: 20 - Original N: 205 Clean N: 203 Skewness: 0.455 
Metric: word_std  | Model: gpt2  | Group: control  | Size: 30 - Original N: 205 Clean N: 203 Skewness: 0.436 
Metric: word_std  | Model: gpt2  | Group: control  | Size: 40 - Original N: 205 Clean N: 204 Skewness: 0.511 
Metric: word_std  | Model: gpt2  | Group: control  | Size: 50 - Original N: 205 Clean N: 203 Skewness: 0.355 
Metric: word_std  | Model: gpt2  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 402 Skewness: 1.18 
Metric: word_std  | Model: gpt2  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 404 Skewness: 0.945 
Metric: word_std  | Model: gpt2  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 404 Skewness: 0.578 
Metric: word_std  | Model: gpt2  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 407 Skewness: 0.497 
Metric: word_std  | Model: gpt2  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 408 Skewness: 0.496 
Metric: word_std  | Model: qwen3  | Group: control  | Size: 10 - Original N: 205 Clean N: 199 Skewness: 1.295 
Metric: word_std  | Model: qwen3  | Group: control  | Size: 20 - Original N: 205 Clean N: 202 Skewness: 0.58 
Metric: word_std  | Model: qwen3  | Group: control  | Size: 30 - Original N: 205 Clean N: 203 Skewness: 0.676 
Metric: word_std  | Model: qwen3  | Group: control  | Size: 40 - Original N: 205 Clean N: 202 Skewness: 0.705 
Metric: word_std  | Model: qwen3  | Group: control  | Size: 50 - Original N: 205 Clean N: 202 Skewness: 0.784 
Metric: word_std  | Model: qwen3  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 403 Skewness: 1.572 
Metric: word_std  | Model: qwen3  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 406 Skewness: 1.033 
Metric: word_std  | Model: qwen3  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 1.001 
Metric: word_std  | Model: qwen3  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 405 Skewness: 0.911 
Metric: word_std  | Model: qwen3  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 406 Skewness: 0.961 
Metric: word_std  | Model: falcon  | Group: control  | Size: 10 - Original N: 205 Clean N: 202 Skewness: 0.818 
Metric: word_std  | Model: falcon  | Group: control  | Size: 20 - Original N: 205 Clean N: 202 Skewness: 0.843 
Metric: word_std  | Model: falcon  | Group: control  | Size: 30 - Original N: 205 Clean N: 201 Skewness: 0.831 
Metric: word_std  | Model: falcon  | Group: control  | Size: 40 - Original N: 205 Clean N: 201 Skewness: 0.843 
Metric: word_std  | Model: falcon  | Group: control  | Size: 50 - Original N: 205 Clean N: 201 Skewness: 0.773 
Metric: word_std  | Model: falcon  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 404 Skewness: 1.07 
Metric: word_std  | Model: falcon  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 403 Skewness: 0.83 
Metric: word_std  | Model: falcon  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 403 Skewness: 0.679 
Metric: word_std  | Model: falcon  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 402 Skewness: 0.55 
Metric: word_std  | Model: falcon  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 405 Skewness: 0.589 
Metric: word_std  | Model: geitje  | Group: control  | Size: 10 - Original N: 205 Clean N: 200 Skewness: 1.609 
Metric: word_std  | Model: geitje  | Group: control  | Size: 20 - Original N: 205 Clean N: 200 Skewness: 1.025 
Metric: word_std  | Model: geitje  | Group: control  | Size: 30 - Original N: 205 Clean N: 201 Skewness: 0.965 
Metric: word_std  | Model: geitje  | Group: control  | Size: 40 - Original N: 205 Clean N: 200 Skewness: 0.823 
Metric: word_std  | Model: geitje  | Group: control  | Size: 50 - Original N: 205 Clean N: 199 Skewness: 0.675 
Metric: word_std  | Model: geitje  | Group: psychosis  | Size: 10 - Original N: 411 Clean N: 403 Skewness: 1.282 
Metric: word_std  | Model: geitje  | Group: psychosis  | Size: 20 - Original N: 411 Clean N: 407 Skewness: 1.146 
Metric: word_std  | Model: geitje  | Group: psychosis  | Size: 30 - Original N: 411 Clean N: 407 Skewness: 1.026 
Metric: word_std  | Model: geitje  | Group: psychosis  | Size: 40 - Original N: 411 Clean N: 404 Skewness: 0.765 
Metric: word_std  | Model: geitje  | Group: psychosis  | Size: 50 - Original N: 411 Clean N: 404 Skewness: 0.859 
