metric,size,PANSS,estimate,conf.low,conf.high,p.value,t_value,df,p.value_fdr
mean_perp,10,panss_positive,0.1838530311239785,0.08057617271700017,0.2832241971717487,5.4666547108332e-4,3.4892118204523763,348,0.00109333094216664
mean_perp,10,panss_negative,-0.03531976476220737,-0.13963259168732706,0.06976838283644195,0.5101436504970092,-0.6592930256749544,348,0.5101436504970092
mean_perp,20,panss_positive,0.19634571052663805,0.0934391319419157,0.29510149554974063,2.1885695055595745e-4,3.735494126876813,348,5.471423763898937e-4
mean_perp,20,panss_negative,-0.057188311913052216,-0.16105262052889913,0.04792884913287597,0.28599829873887117,-1.0685829581961883,348,0.31777588748763463
mean_perp,30,panss_positive,0.20002004785208596,0.09722892479487207,0.29858903860394853,1.6536672405226006e-4,3.8082841593103858,348,5.471423763898937e-4
mean_perp,30,panss_negative,-0.07348446111285423,-0.1769511676332848,0.0315887037883737,0.1701551146705106,-1.374551135086751,348,0.21269389333813823
mean_perp,40,panss_positive,0.2056708611894003,0.10306312185630284,0.3039474460007785,1.0640768262970772e-4,3.920556878703808,348,5.320384131485386e-4
mean_perp,40,panss_negative,-0.08297051306543021,-0.18618097670876008,0.022051108362769363,0.12129620627801843,-1.5531501086586124,348,0.17328029468288347
mean_perp,50,panss_positive,0.20857456845063613,0.10606381059559596,0.30669848218685997,8.443944002778563e-5,3.9784073552007713,348,5.320384131485386e-4
mean_perp,50,panss_negative,-0.08920092836028154,-0.19223319718280632,0.01577642129942956,0.09568362499491384,-1.6706816603985202,348,0.1594727083248564
sd_perp,10,panss_positive,0.1700392534253221,0.06593710114663046,0.27047965031750465,0.001476647452740644,3.205012625367106,345,0.00738323726370322
sd_perp,10,panss_negative,-0.016619192196585864,-0.12168884130134638,0.08881878447056195,0.7577129344768431,-0.3087304327774563,345,0.7577129344768431
sd_perp,20,panss_positive,0.1754635618979202,0.07119489685880008,0.27593897635906706,0.0010652977586425101,3.3008401205173596,343,0.00738323726370322
sd_perp,20,panss_negative,-0.0778001914920857,-0.18189366002983537,0.02801764416084255,0.14929775513431834,-1.4452603357055194,343,0.16588639459368704
sd_perp,30,panss_positive,0.1257411073467647,0.020579142471215707,0.22815118840255588,0.019296679425892038,2.350808271882513,344,0.038593358851784075
